game_id,home_team,away_team,runline,pick
778498,Cincinnati Reds,Texas Rangers,8.5,Under
778497,Miami Marlins,New York Mets,7.5,Under
778492,New York Yankees,Arizona Diamondbacks,8.5,Under
778493,Tampa Bay Rays,Pittsburgh Pirates,9.0,Under
778491,Toronto Blue Jays,Washington Nationals,8.5,Under
778490,Chicago White Sox,Minnesota Twins,7.5,Under
778488,Milwaukee Brewers,Kansas City Royals,8.5,Under
778495,St. Louis Cardinals,Los Angeles Angels,8.0,Over
778485,San Diego Padres,Cleveland Guardians,7.5,Under
778489,Houston Astros,San Francisco Giants,8.0,Under
778486,Seattle Mariners,Detroit Tigers,7.0,Under
778494,Athletics,Chicago Cubs,8.0,Under
778487,Los Angeles Dodgers,Atlanta Braves,7.5,Under
