game_id,start_time,home_team,away_team,runline,pick,runs_total,prediction,outcome,completed,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
778068,15:15,St. Louis Cardinals,New York Mets,8.5,Under,0,0,0,0,,,,,,,,,,,,,,,,,,,,
778068,15:15,St. Louis Cardinals,New York Mets,7.5,Under,0,0,0,0,,,,,,,,,,,,,,,,,,,,
778062,10:35,Baltimore Orioles,Kansas City Royals,9.0,Under,7,0,0,0,Jonathan India,Bobby Witt Jr.,Vinnie Pasquantino,Salvador Perez,Maikel Garcia,Michael Massey,Hunter Renfroe,Drew Waters,Luke Maile,Cedric Mullins,Gunnar Henderson,Adley Rutschman,Ryan O'Hearn,Ryan Mountcastle,Jackson Holliday,Coby Mayo,Heston Kjerstad,Maverick Handley,Michael Lorenzen,Kyle Gibson
778057,10:35,New York Yankees,Tampa Bay Rays,9.0,Under,2,0,0,0,Chandler Simpson,Brandon Lowe,Yandy Díaz,Jonathan Aranda,Kameron Misner,Curtis Mead,Travis Jankowski,Ben Rortvedt,Taylor Walls,Trent Grisham,Aaron Judge,Cody Bellinger,Paul Goldschmidt,Jasson Domínguez,J.C. Escarra,Pablo Reyes,Oswaldo Cabrera,Oswald Peraza,Taj Bradley,Will Warren
778063,10:35,Boston Red Sox,Minnesota Twins,8.5,Under,4,0,0,0,Byron Buxton,Ryan Jeffers,Ty France,Carlos Correa,Jonah Bride,Brooks Lee,Harrison Bader,Trevor Larnach,Christian Vázquez,Jarren Duran,Rafael Devers,Alex Bregman,Kristian Campbell,Wilyer Abreu,Romy Gonzalez,David Hamilton,Carlos Narváez,Ceddanne Rafaela,Chris Paddack,Garrett Crochet
778051,10:35,Pittsburgh Pirates,San Diego Padres,9.0,Under,4,0,0,0,Fernando Tatis Jr.,Luis Arraez,Manny Machado,Xander Bogaerts,Luis Campusano,Oscar Gonzalez,Jose Iglesias,Elias Díaz,Brandon Lockridge,Oneil Cruz,Bryan Reynolds,Joey Bart,Enmanuel Valdez,Ke'Bryan Hayes,Tommy Pham,Adam Frazier,Jared Triolo,Henry Davis,Stephen Kolek,Andrew Heaney
778061,10:40,Miami Marlins,Athletics,9.0,Under,4,0,0,0,Lawrence Butler,Brent Rooker,JJ Bleday,Miguel Andujar,Jacob Wilson,Nick Kurtz,Luis Urías,Gio Urshela,Jhonny Pereda,Xavier Edwards,Agustín Ramírez,Eric Wagaman,Connor Norby,Kyle Stowers,Dane Myers,Nick Fortes,Ronny Simon,Javier Sanoja,JP Sears,Edward Cabrera
778056,10:37,Toronto Blue Jays,Cleveland Guardians,8.5,Over,7,1,0,0,Steven Kwan,Nolan Jones,José Ramírez,Kyle Manzardo,Carlos Santana,Daniel Schneemann,Gabriel Arias,Bo Naylor,Angel Martínez,Bo Bichette,Vladimir Guerrero Jr.,Anthony Santander,George Springer,Alejandro Kirk,Addison Barger,Alan Roden,Nathan Lukes,Andrés Giménez,Tanner Bibee,Bowden Francis
778055,11:10,Chicago White Sox,Houston Astros,8.0,Under,2,0,0,0,Jeremy Peña,Jose Altuve,Christian Walker,Yainer Diaz,Victor Caratini,Zach Dezenzo,Jake Meyers,Brendan Rodgers,Mauricio Dubón,Chase Meidroth,Miguel Vargas,Andrew Benintendi,Luis Robert Jr.,Edgar Quero,Andrew Vaughn,Josh Rojas,Lenyn Sosa,Joshua Palacios,Lance McCullers Jr.,Bryse Wilson
778059,11:05,Philadelphia Phillies,Arizona Diamondbacks,8.5,Over,4,1,0,0,Geraldo Perdomo,Corbin Carroll,Randal Grichuk,Eugenio Suárez,Josh Naylor,Lourdes Gurriel Jr.,Tim Tawa,Garrett Hampson,Jose Herrera,Trea Turner,Bryce Harper,Kyle Schwarber,Nick Castellanos,J.T. Realmuto,Alec Bohm,Edmundo Sosa,Weston Wilson,Johan Rojas,Eduardo Rodriguez,Ranger Suárez
778054,11:10,Milwaukee Brewers,Chicago Cubs,7.5,Over,0,1,0,0,Ian Happ,Kyle Tucker,Seiya Suzuki,Michael Busch,Nico Hoerner,Pete Crow-Armstrong,Miguel Amaya,Dansby Swanson,Jon Berti,Jackson Chourio,Isaac Collins,William Contreras,Christian Yelich,Rhys Hoskins,Sal Frelick,Caleb Durbin,Joey Ortiz,Brice Turang,Shota Imanaga,Freddy Peralta
778052,11:35,Texas Rangers,Seattle Mariners,8.5,Under,0,0,0,0,J.P. Crawford,Jorge Polanco,Julio Rodríguez,Cal Raleigh,Randy Arozarena,Rowdy Tellez,Miles Mastrobuoni,Ben Williamson,Leo Rivas,Josh Smith,Wyatt Langford,Corey Seager,Joc Pederson,Marcus Semien,Jonah Heim,Adolis García,Josh Jung,Blaine Crim,Logan Evans,Jacob deGrom
778058,13:10,Cincinnati Reds,Washington Nationals,8.5,Over,0,1,0,0,CJ Abrams,Amed Rosario,James Wood,Nathaniel Lowe,Keibert Ruiz,Luis García Jr.,Alex Call,Dylan Crews,Jacob Young,Matt McLain,Santiago Espinal,Elly De La Cruz,Noelvi Marte,Spencer Steer,Tyler Stephenson,Gavin Lux,Jose Trevino,Blake Dunn,MacKenzie Gore,Nick Martinez
778050,13:07,Los Angeles Angels,Detroit Tigers,8.5,Over,0,1,0,0,Kerry Carpenter,Gleyber Torres,Zach McKinstry,Riley Greene,Spencer Torkelson,Colt Keith,Javier Báez,Trey Sweeney,Tomás Nido,Zach Neto,Nolan Schanuel,Jorge Soler,Taylor Ward,Logan O'Hoppe,Luis Rengifo,Jo Adell,Kyren Paris,Tim Anderson,Reese Olson,Jack Kochanowicz
778060,16:10,Atlanta Braves,Los Angeles Dodgers,9.5,Under,0,0,0,0,,,,,,,,,,,,,,,,,,,,
778048,13:05,San Francisco Giants,Colorado Rockies,7.5,Under,0,0,0,0,Brenton Doyle,Jordan Beck,Ryan McMahon,Hunter Goodman,Michael Toglia,Kyle Farmer,Mickey Moniak,Jacob Stallings,Alan Trejo,Mike Yastrzemski,Willy Adames,Jung Hoo Lee,Matt Chapman,Wilmer Flores,LaMonte Wade Jr.,Luis Matos,Patrick Bailey,Christian Koss,Germán Márquez,Logan Webb
