key_mlbam,key_bbref
593576,nerishe01
445926,chaveje01
669093,estraje01
663362,waldrma01
605280,holmecl01
669467,pallaan01
596295,gombeau01
669194,nelsory01
683627,molinan01
607259,martini01
656529,hentgsa01
624647,gonzavi02
673513,matsuyu01
650911,sanchcr01
663878,pearsna01
656730,megiltr01
681911,vesiaal01
656288,cannigr01
605288,housead01
668941,romerjo01
493603,ottavad01
519326,strichu01
607625,lugose01
471911,carraca01
621237,alvarjo03
657097,webbja01
641793,litteza01
670950,richatr01
669373,skubata01
605177,chafian01
650556,abreubr01
434378,verlaju01
660896,alcaljo01
676395,garciro04
519043,moorema02
664849,youngda02
573204,thielca01
682990,priesqu01
502624,anderch01
684007,imanash01
663704,mcartja01
663623,irvinja01
552640,kittran01
664208,matonph01
542888,armstsh01
671345,foleyja01
608718,suterbr01
670167,schrejo01
643511,rogerty01
663989,vespini01
663474,mckentr01
676254,walkery01
669674,longsa01
643361,hergeke01
681982,andergr01
554340,garciyi01
605463,scottta02
669203,burneco01
606303,payamjo01
571948,milneho01
606930,barneja01
689225,briesbe01
518585,cruzfe01
657612,hillti01
680704,sandlni01
663542,hudsobr01
500779,quintjo01
642546,hernajo02
641482,cortene01
608032,estevca01
676710,crawfku01
656546,hoffmje02
660761,suarejo01
669387,mlodzca01
663423,thorntr01
669923,kirbyge01
613534,adamsau02
641835,mayzati01
694297,pfaadbr01
656412,faedoal01
670280,bednada01
671096,abbotan01
640448,finneky01
628452,iglesra01
542881,anderty01
642028,rogerjo01
605154,brebbjo01
676702,strathu01
664854,helslry01
660853,delosen01
608723,vothau01
573124,rogerta01
571760,heanean01
686796,walstbl01
686580,slateju01
679885,martiju01
571946,millesh01
592426,jackslu01
657585,garrere01
596133,weavelu01
678394,bellobr01
663432,raineta01
607192,glasnty01
622554,dominse01
642547,peralfr01
623149,sewalpa01
686752,pepiory01
663567,lambepe01
605483,snellbl01
657044,thompry02
669060,wilsobr02
689147,kerkeor01
670102,francbo01
681432,littllu01
664126,fairbpe01
682120,herriti01
663485,sandsco01
607179,weemsjo01
663372,feltnry01
573009,mantijo01
667463,kingjo01
675921,howarsp01
694813,stonega01
600917,leclejo01
656731,megilty01
571539,carasma01
519151,pressry01
656641,latzja01
693312,nicolky01
592767,smylydr01
622786,tinocje01
680573,woodssi01
647315,popza01
661395,duranjh01
641755,kinlety01
622491,castilu02
668338,millety01
595345,okertst01
607067,reaco01
666142,raganco01
656849,peterda01
571882,lawde01
621389,blachty01
687765,spencmi01
642048,sauceta01
666200,luzarje01
658648,avilape01
592836,walketa01
605130,barlosc01
686826,jarvibr01
656786,mushipa01
661563,gillu01
666974,canoye01
502043,gibsoky01
571670,florody01
694361,kleinwi01
642701,santade01
669062,milleer01
657649,koenija01
673380,nunezde01
623211,brazohu01
543135,eovalna01
543294,hendrky01
657508,baumami01
650893,cabrege01
593423,montafr02
572955,johnspi01
669022,gorema01
688297,roycrch01
518397,alexasc02
656887,reidfse01
656945,scottta01
641729,jimenjo02
660600,pareden01
670990,ramiryo01
641927,oberba01
662253,munozan01
621381,strahma01
663947,holtoty01
472610,garcilu03
606160,montera01
681676,fernary01
643338,greench03
672582,zerpaan01
622098,smithdr01
669713,wesneha01
669620,bassobr01
686613,brownhu01
666157,lodolni01
650633,kingmi01
592332,gausmke01
640462,pukaj01
680570,rodrigr01
669711,weissgr01
656794,newcose01
642629,ramirem01
680897,nastrni01
621383,banksta01
665622,medinlu02
669432,rogertr01
664076,cleavga01
656464,ginkeke01
678495,rodrira02
686539,cronide01
665625,pegueel01
571656,farmebu01
614179,ruizjo01
592454,kahnlto01
543056,couloda01
445276,janseke01
641540,dunnida01
681517,leahyky01
669276,leedy01
640451,harvehu01
554430,wheelza01
669461,liberma01
518617,diekmja01
666808,dovalca01
623433,anderni01
702795,
592773,stanery01
690986,harriky01
458677,wilsoju10
608331,friedma01
572143,smithbu03
671922,smithca06
676962,brownbe02
661527,martise01
663776,sandopa02
675627,grovemi01
608344,irvinco01
605135,bassich01
450203,mortoch02
641656,hamilia01
663554,mizeca01
547973,chapmar01
621114,burrry01
543339,hudsoda01
622253,tatedi01
592155,booseca01
623167,flexech01
686993,sternju01
670059,holdeco01
663893,littlbr02
670970,morejad01
673929,leasujo01
683232,mearsni01
656427,flaheja01
502085,roberda08
458681,lynnla01
663546,hjellse01
605121,anderju01
666204,jimenda01
669211,akinke01
623352,haderjo01
681293,arrigsp01
661403,claseem01
543859,tonkimi01
683003,jonesja09
642397,sotogr01
643377,jaxgr01
664747,diazal03
