SEASON_ID,GAME_DATE,GAME_ID,AWAY_NAME,HOME_NAME,AWAY_ID,HOME_ID
22020,2020-12-22,0022000002,Los Angeles Clippers,Los Angeles Lakers,1610612746,1610612747
22020,2020-12-22,0022000001,Golden State Warriors,Brooklyn Nets,1610612744,1610612751
22020,2020-12-23,0022000012,Miami Heat,Orlando Magic,1610612748,1610612753
22020,2020-12-23,0022000018,Detroit Pistons,Minnesota Timberwolves,1610612765,1610612750
22020,2020-12-23,0022000019,Sacramento Kings,Denver Nuggets,1610612758,1610612743
22020,2020-12-23,0022000003,Milwaukee Bucks,Boston Celtics,1610612749,1610612738
22020,2020-12-23,0022000020,Utah Jazz,Portland Trail Blazers,1610612762,1610612757
22020,2020-12-23,0022000013,Washington Wizards,Philadelphia 76ers,1610612764,1610612755
22020,2020-12-23,0022000014,New Orleans Pelicans,Toronto Raptors,1610612740,1610612761
22020,2020-12-23,0022000010,Charlotte Hornets,Cleveland Cavaliers,1610612766,1610612739
22020,2020-12-23,0022000004,Dallas Mavericks,Phoenix Suns,1610612742,1610612756
22020,2020-12-23,0022000011,New York Knicks,Indiana Pacers,1610612752,1610612754
22020,2020-12-23,0022000017,San Antonio Spurs,Memphis Grizzlies,1610612759,1610612763
22020,2020-12-23,0022000015,Atlanta Hawks,Chicago Bulls,1610612737,1610612741
22020,2020-12-25,0022000008,Dallas Mavericks,Los Angeles Lakers,1610612742,1610612747
22020,2020-12-25,0022000005,New Orleans Pelicans,Miami Heat,1610612740,1610612748
22020,2020-12-25,0022000007,Brooklyn Nets,Boston Celtics,1610612751,1610612738
22020,2020-12-25,0022000009,Los Angeles Clippers,Denver Nuggets,1610612746,1610612743
22020,2020-12-25,0022000006,Golden State Warriors,Milwaukee Bucks,1610612744,1610612749
22020,2020-12-26,0022000023,Cleveland Cavaliers,Detroit Pistons,1610612739,1610612765
22020,2020-12-26,0022000026,Indiana Pacers,Chicago Bulls,1610612754,1610612741
22020,2020-12-26,0022000024,Orlando Magic,Washington Wizards,1610612753,1610612764
22020,2020-12-26,0022000027,Toronto Raptors,San Antonio Spurs,1610612761,1610612759
22020,2020-12-26,0022000028,Minnesota Timberwolves,Utah Jazz,1610612750,1610612762
22020,2020-12-26,0022000021,Atlanta Hawks,Memphis Grizzlies,1610612737,1610612763
22020,2020-12-26,0022000029,Houston Rockets,Portland Trail Blazers,1610612745,1610612757
22020,2020-12-26,0022000025,Philadelphia 76ers,New York Knicks,1610612755,1610612752
22020,2020-12-26,0022000022,Oklahoma City Thunder,Charlotte Hornets,1610612760,1610612766
22020,2020-12-26,0022000030,Phoenix Suns,Sacramento Kings,1610612756,1610612758
22020,2020-12-27,0022000038,Golden State Warriors,Chicago Bulls,1610612744,1610612741
22020,2020-12-27,0022000031,Dallas Mavericks,Los Angeles Clippers,1610612742,1610612746
22020,2020-12-27,0022000040,Minnesota Timberwolves,Los Angeles Lakers,1610612750,1610612747
22020,2020-12-27,0022000034,San Antonio Spurs,New Orleans Pelicans,1610612759,1610612740
22020,2020-12-27,0022000033,Orlando Magic,Washington Wizards,1610612753,1610612764
