DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Jaylen Adams,1629121,
Ty-Shon Alexander,1630234,Phoenix Suns
Al-Farouq Aminu,202329,Chicago Bulls
Kostas Antetokounmpo,1628961,Los Angeles Lakers
Trevor Ariza,2772,Miami Heat
Dwayne Bacon,1628407,Orlando Magic
Aron Baynes,203382,Toronto Raptors
Jordan Bell,1628395,Golden State Warriors
DeAndre' Bembry,1627761,Toronto Raptors
Tyler Bey,1630189,Dallas Mavericks
Jordan Bone,1629648,
Brian Bowen II,1628968,
Jarrell Brantley,1629714,Utah Jazz
Amida Brimah,1628578,Indiana Pacers
Elijah Bryant,1629091,Milwaukee Bucks
Bruno Caboclo,203998,
Quinn Cook,1626188,
Nate Darling,1630268,Charlotte Hornets
Gabriel Deck,1630466,Oklahoma City Thunder
Damyean Dotson,1628422,Cleveland Cavaliers
Devon Dotson,1629653,Chicago Bulls
Sekou Doumbouya,1629635,Detroit Pistons
Jared Dudley,201162,Los Angeles Lakers
Henry Ellenson,1627740,
James Ennis III,203516,Orlando Magic
Tacko Fall,1629605,Boston Celtics
Cristiano Felicio,1626245,Chicago Bulls
Terrance Ferguson,1628390,
Yogi Ferrell,1627812,LA Clippers
Robert Franks,1629606,
Tim Frazier,204025,Memphis Grizzlies
Enes Freedom,202683,Portland Trail Blazers
Langston Galloway,204038,Phoenix Suns
Marc Gasol,201188,Los Angeles Lakers
Freddie Gillespie,1630273,Toronto Raptors
Kyle Guy,1629657,Sacramento Kings
Donta Hall,1629743,
Josh Hall,1630221,Oklahoma City Thunder
Jalen Harris,1630223,
Solomon Hill,203524,Atlanta Hawks
Jaylen Hoard,1629658,Oklahoma City Thunder
Rondae Hollis-Jefferson,1626178,Portland Trail Blazers
Caleb Homesley,1630258,Washington Wizards
Chandler Hutchison,1628990,Washington Wizards
Ersan Ilyasova,101141,Utah Jazz
Wes Iwundu,1628411,New Orleans Pelicans
Justin Jackson,1628382,Milwaukee Bucks
Justin James,1629713,Sacramento Kings
Mike James,1628455,Brooklyn Nets
Alize Johnson,1628993,Brooklyn Nets
Tyler Johnson,204020,Brooklyn Nets
Rodions Kurucs,1629066,
T.J. Leaf,1628388,Portland Trail Blazers
Jalen Lecque,1629665,
Will Magnay,1630266,
Thon Maker,1627748,
Karim Mane,1630211,
Nico Mannion,1630185,Golden State Warriors
Jeremiah Martin,1629725,Cleveland Cavaliers
Kelan Martin,1629103,Indiana Pacers
Frank Mason III,1628412,
Patrick McCaw,1627775,
Sean McDermott,1630253,Memphis Grizzlies
Alfonzo McKinnie,1628035,Los Angeles Lakers
Nicolo Melli,1629740,Dallas Mavericks
Darius Miller,203121,
Adam Mokoka,1629690,Chicago Bulls
E'Twaun Moore,202734,Phoenix Suns
Abdel Nader,1627846,Phoenix Suns
James Nunnally,203263,New Orleans Pelicans
Semi Ojeleye,1628400,Boston Celtics
Jahlil Okafor,1626143,Detroit Pistons
KZ Okpala,1629644,Miami Heat
Daniel Oturu,1630187,LA Clippers
Jabari Parker,203953,Boston Celtics
Anzejs Pasecniks,1628394,
Patrick Patterson,202335,LA Clippers
Justin Patton,1628383,
Norvel Pelle,203658,New York Knicks
Reggie Perry,1629617,Brooklyn Nets
Vincent Poirier,1629738,
Jontay Porter,1629007,Memphis Grizzlies
Jahmi'us Ramsey,1630186,Sacramento Kings
Chasson Randle,1626184,Orlando Magic
JJ Redick,200755,Dallas Mavericks
Cam Reynolds,1629244,
Grant Riller,1630203,Charlotte Hornets
Andre Roberson,203460,
Glenn Robinson III,203922,
JaKarr Sampson,203960,Indiana Pacers
Mike Scott,203118,Philadelphia 76ers
Iman Shumpert,202697,
Deividas Sirvydis,1629686,Detroit Pistons
Alen Smailagic,1629346,Golden State Warriors
Ray Spalding,1629034,
Cassius Stanley,1630199,Indiana Pacers
Jeff Teague,201952,Milwaukee Bucks
