,Name,Tm,mlbID,key_bbref
115,Anthony Bemboom,"Baltimore,Los Angeles",621532,bemboan01
116,Anthony Bender,Miami,669622,bendean01
117,Andrew Benintendi,"Chicago,Kansas City,New York",643217,beninan01
118,Will Benson,"Cincinnati,Cleveland",666181,bensowi01
119,Wynton Bernard,Colorado,592144,bernawy01
120,Jos\xc3\xa9 Berr\xc3\xados,"Minnesota,Toronto",621244,berrijo01
121,Jon Berti,"Miami,New York",542932,bertijo01
122,Christian Bethancourt,"Miami,Oakland,Tampa Bay",542194,bethach01
123,Alec Bettinger,Milwaukee,676424,bettial01
124,Mookie Betts,Los Angeles,605141,bettsmo01
125,Bo Bichette,Toronto,666182,bichebo01
126,Phil Bickford,Los Angeles,641360,bickfph01
127,Shane Bieber,Cleveland,669456,biebesh01
128,Cavan Biggio,Toronto,624415,biggica01
129,Braden Bishop,Seattle,623323,bishobr01
131,Tyler Black,Milwaukee,672012,blackty01
132,Charlie Blackmon,Colorado,453568,blackch02
133,Dairon Blanco,Kansas City,680118,blancda02
134,Alex Blandino,Cincinnati,607468,blandal01
135,Travis Blankenhorn,"Minnesota,New York,Washington",663905,blanktr01
136,JJ Bleday,"Miami,Oakland",668709,bledajj01
137,Richard Bleier,Miami,542947,bleieri01
138,Ryan Bliss,Seattle,669208,
139,Xander Bogaerts,"Boston,San Diego",593428,bogaexa01
140,Alec Bohm,Philadelphia,664761,bohmal01
141,Skye Bolt,"Oakland,San Francisco",621450,boltsk01
142,Jorge Bonifacio,Philadelphia,593528,bonifjo01
143,David Bote,Chicago,623520,boteda01
144,Sean Bouchard,Colorado,656248,bouchse01
145,Matthew Boyd,Detroit,571510,boydma01
146,Archie Bradley,Philadelphia,605151,bradlar01
147,Bobby Bradley,Cleveland,656252,bradlbo01
148,Jackie Bradley Jr.,"Boston,Kansas City,Milwaukee,Toronto",598265,bradlja02
149,Michael Brantley,Houston,488726,brantmi02
150,Rob Brantly,New York,542963,brantro01
151,Steven Brault,Pittsburgh,643230,braulst01
152,John Brebbia,San Francisco,605154,brebbjo01
153,Alex Bregman,Houston,608324,bregmal01
154,Will Brennan,Cleveland,686823,brennwi02
155,Jake Brentz,Kansas City,641394,brentja01
157,Jonah Bride,"Miami,Oakland",681146,bridejo01
158,Lewis Brinson,"Miami,San Francisco",621446,brinsle01
159,Mike Brosseau,"Milwaukee,Tampa Bay",670712,brossmi01
160,Rex Brothers,Chicago,571521,brothre01
161,Seth Brown,Oakland,664913,brownse01
162,JT Brubaker,Pittsburgh,664141,brubajt01
163,Jay Bruce,New York,457803,bruceja01
164,Justin Bruihl,Los Angeles,677865,bruihju01
165,Vidal Bruj\xc3\xa1n,"Miami,Tampa Bay",660644,brujavi01
166,Kris Bryant,"Chicago,Colorado,San Francisco",592178,bryankr01
167,Kris Bubic,Kansas City,663460,bubickr01
168,Walker Buehler,Los Angeles,621111,buehlwa01
169,Madison Bumgarner,Arizona,518516,bumgama01
170,Dylan Bundy,Los Angeles,605164,bundydy01
171,Peyton Burdick,Miami,680814,burdipe01
172,Jake Burger,"Chicago,Miami",669394,burgeja01
173,Alec Burleson,St. Louis,676475,burleal01
174,Corbin Burnes,Milwaukee,669203,burneco01
175,Andy Burns,Los Angeles,542992,burnsan01
176,Michael Busch,"Chicago,Los Angeles",683737,buschmi02
177,Drew Butera,Los Angeles,460077,buterdr01
178,Lawrence Butler,Oakland,671732,butlela01
179,Byron Buxton,Minnesota,621439,buxtoby01
180,Jos\xc3\xa9 Caballero,"Seattle,Tampa Bay",676609,cabaljo01
181,Trey Cabbage,"Houston,Los Angeles",663550,cabbatr01
183,Asdr\xc3\xbabal Cabrera,"Arizona,Cincinnati",452678,cabreas01
184,Edward Cabrera,Miami,665795,cabreed02
185,Miguel Cabrera,Detroit,408234,cabremi01
186,Oswaldo Cabrera,New York,665828,cabreos01
187,Trevor Cahill,Pittsburgh,502239,cahiltr01
188,Lorenzo Cain,Milwaukee,456715,cainlo01
189,Kole Calhoun,"Arizona,Cleveland,Texas",594777,calhoko01
190,Willie Calhoun,"Los Angeles,New York,San Francisco,Texas",641432,calhowi01
191,Alex Call,"Cleveland,Washington",669743,callal02
192,Daniel Camarena,San Diego,547176,camarda01
193,Jair Camargo,Minnesota,665856,camarja01
194,Johan Camargo,"Atlanta,Philadelphia,San Francisco",622666,camarjo01
195,Daz Cameron,"Detroit,Oakland",663662,camerda01
196,Junior Caminero,Tampa Bay,691406,caminju01
197,Eric Campbell,Seattle,493472,campber01
198,Paul Campbell,Miami,669294,campbpa02
199,Luis Campusano,San Diego,669134,campulu01
200,Alexander Canario,Chicago,672744,canaral01
201,Jeimer Candelario,"Chicago,Cincinnati,Detroit,Washington",600869,candeje01
202,Mark Canha,"Detroit,Milwaukee,New York,Oakland",592192,canhama01
203,Griffin Canning,Los Angeles,656288,cannigr01
204,Robinson Can\xc3\xb3,"Atlanta,New York,San Diego",429664,canoro01
205,Dominic Canzone,"Arizona,Seattle",686527,canzodo01
206,Conner Capel,"Cincinnati,Oakland,St. Louis",668843,capelco01
207,Vinny Capra,"Pittsburgh,Toronto",681962,capravi01
209,Victor Caratini,"Houston,Milwaukee,San Diego",605170,caratvi01
210,Dylan Carlson,St. Louis,666185,carlsdy01
211,Kerry Carpenter,Detroit,681481,carpeke01
212,Matt Carpenter,"New York,San Diego,St. Louis",572761,carpema01
213,Carlos Carrasco,New York,471911,carraca01
