teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Milwaukee Bucks,203114,K. Middleton,1610612749,37:33,10,20,3,8,4,4,14,8,2,2,27,124.4,115.4,99.71,0.62,0.256
Milwaukee Bucks,203507,G. Antetokounmpo,1610612749,36:24,13,26,3,8,6,8,13,2,7,5,35,120.8,123.7,100.9,0.593,0.404
Milwaukee Bucks,201572,B. Lopez,1610612749,29:06,3,4,1,2,0,0,3,0,0,3,7,130.6,96.7,101.46,0.875,0.057
Milwaukee Bucks,1628978,D. DiVincenzo,1610612749,27:13,6,11,3,4,0,0,5,3,1,3,15,118.3,117.5,103.15,0.682,0.179
Milwaukee Bucks,201950,J. Holiday,1610612749,38:23,10,16,1,4,4,4,6,3,3,3,25,118.5,124.7,101.31,0.704,0.226
Milwaukee Bucks,1626171,B. Portis,1610612749,16:22,1,3,0,0,1,2,4,1,1,0,3,108.8,155.9,99.71,0.387,0.122
Milwaukee Bucks,1626192,P. Connaughton,1610612749,23:08,2,3,2,3,0,0,1,1,1,1,6,103.9,134.0,104.81,1.0,0.067
Milwaukee Bucks,1628391,D. Wilson,1610612749,12:53,0,2,0,2,0,0,5,1,1,2,0,96.6,113.3,109.85,0.0,0.094
Milwaukee Bucks,1627854,B. Forbes,1610612749,13:31,1,5,1,4,0,0,1,0,0,1,3,127.6,117.9,101.26,0.3,0.152
Milwaukee Bucks,1630241,S. Merrill,1610612749,5:28,0,0,0,0,0,0,0,0,0,0,0,100.0,92.3,109.76,0.0,0.0
Milwaukee Bucks,1629121,J. Adams,1610612749,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,203648,T. Antetokounmpo,1610612749,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,1628470,T. Craig,1610612749,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,1629603,M. Diakite,1610612749,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,1629670,J. Nwora,1610612749,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,1628369,J. Tatum,1610612738,32:49,12,28,6,13,0,0,7,2,2,2,30,114.3,121.1,103.12,0.536,0.39
Boston Celtics,202684,T. Thompson,1610612738,22:24,6,10,0,0,0,0,8,1,0,3,12,112.5,120.0,104.97,0.6,0.179
Boston Celtics,1628464,D. Theis,1610612738,24:40,4,8,2,6,0,0,3,3,0,1,10,130.8,115.1,102.16,0.625,0.148
Boston Celtics,1627759,J. Brown,1610612738,37:38,13,24,3,8,4,4,5,4,0,3,33,127.8,117.7,100.78,0.641,0.284
Boston Celtics,203935,M. Smart,1610612738,38:27,0,3,0,2,3,4,1,7,2,2,3,122.5,122.5,99.87,0.315,0.078
Boston Celtics,201952,J. Teague,1610612738,25:00,7,15,4,4,1,2,3,4,0,1,19,125.5,110.9,105.6,0.598,0.258
Boston Celtics,1629684,G. Williams,1610612738,14:35,1,5,1,4,0,0,1,1,1,2,3,77.4,143.3,100.39,0.3,0.158
Boston Celtics,1629057,R. Williams III,1610612738,12:28,2,2,0,0,0,0,4,0,1,1,4,107.4,125.9,103.96,1.0,0.094
Boston Celtics,1630202,P. Pritchard,1610612738,13:00,1,4,1,2,0,0,1,0,0,1,3,100.0,107.1,103.33,0.375,0.118
Boston Celtics,1628400,S. Ojeleye,1610612738,18:59,2,2,1,1,0,1,4,1,0,1,5,151.3,102.6,97.38,1.025,0.047
Boston Celtics,1629035,C. Edwards,1610612738,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,1629750,J. Green,1610612738,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,1630174,A. Nesmith,1610612738,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,1629682,T. Waters,1610612738,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
