teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Golden State Warriors,203952,A. Wiggins,1610612744,31:14,4,16,2,6,3,4,2,1,4,4,13,76.4,118.6,109.11,0.366,0.259
Golden State Warriors,1629672,E. Paschall,1610612744,21:33,2,6,1,1,1,2,1,0,0,1,6,75.5,127.5,111.37,0.436,0.127
Golden State Warriors,1630164,J. Wiseman,1610612744,24:17,7,13,1,1,4,8,6,0,1,2,19,84.5,101.7,114.65,0.575,0.286
Golden State Warriors,1626162,K. Oubre Jr.,1610612744,25:39,3,14,0,6,0,0,7,2,3,1,6,84.1,126.6,118.83,0.214,0.243
Golden State Warriors,201939,S. Curry,1610612744,30:19,7,21,2,10,4,4,4,10,3,1,20,89.2,120.3,117.16,0.439,0.313
Golden State Warriors,1626172,K. Looney,1610612744,11:17,2,4,0,0,0,1,2,0,2,3,4,96.3,128.6,116.99,0.45,0.194
Golden State Warriors,203145,K. Bazemore,1610612744,11:35,1,2,0,1,0,0,2,2,2,3,2,100.0,110.3,120.17,0.5,0.121
Golden State Warriors,1627814,D. Lee,1610612744,12:14,1,2,1,1,0,0,7,2,0,0,3,117.2,92.9,111.83,0.75,0.057
Golden State Warriors,1627737,M. Chriss,1610612744,12:26,4,10,1,3,0,0,8,1,0,2,9,88.9,111.1,104.24,0.45,0.294
Golden State Warriors,1629673,J. Poole,1610612744,17:55,1,4,0,1,0,0,2,3,2,2,2,86.8,92.3,103.14,0.25,0.133
Golden State Warriors,202954,B. Wanamaker,1610612744,21:40,0,2,0,1,3,4,1,3,1,2,3,95.7,91.7,105.23,0.399,0.089
Golden State Warriors,1629308,J. Toscano-Anderson,1610612744,13:15,2,2,0,0,0,0,4,2,0,3,4,69.7,103.2,115.92,1.0,0.057
Golden State Warriors,1628539,M. Mulder,1610612744,6:36,3,3,2,2,0,0,1,0,0,0,8,140.0,80.0,109.09,1.333,0.188
Brooklyn Nets,203925,J. Harris,1610612751,20:46,4,8,2,5,0,0,7,2,2,2,10,126.5,80.4,115.57,0.625,0.169
Brooklyn Nets,201142,K. Durant,1610612751,24:56,7,16,1,2,7,7,5,3,1,3,22,125.0,80.3,116.47,0.577,0.282
Brooklyn Nets,201599,D. Jordan,1610612751,17:03,2,3,0,0,0,2,11,1,3,2,4,125.0,72.5,112.61,0.515,0.143
Brooklyn Nets,203915,S. Dinwiddie,1610612751,19:57,2,6,1,3,4,4,5,4,3,1,9,125.5,74.5,113.08,0.58,0.196
Brooklyn Nets,202681,K. Irving,1610612751,25:18,10,16,4,7,2,2,4,4,1,3,26,130.6,77.8,118.58,0.77,0.247
Brooklyn Nets,1628386,J. Allen,1610612751,19:37,2,3,0,0,4,5,7,2,2,0,8,113.0,88.9,111.33,0.769,0.143
Brooklyn Nets,1629013,L. Shamet,1610612751,19:43,1,4,1,4,3,4,1,0,2,3,6,106.5,80.4,111.99,0.521,0.163
Brooklyn Nets,1627747,C. LeVert,1610612751,24:49,6,17,3,5,5,6,9,5,2,1,20,108.6,76.3,113.15,0.509,0.349
Brooklyn Nets,201145,J. Green,1610612751,17:17,3,4,1,2,0,0,0,1,1,3,7,105.1,85.4,111.09,0.875,0.116
Brooklyn Nets,1627752,T. Prince,1610612751,16:06,0,1,0,1,1,2,1,0,0,1,1,91.4,82.9,104.35,0.266,0.053
Brooklyn Nets,1629617,R. Perry,1610612751,7:46,1,3,0,1,0,0,2,1,0,0,2,82.4,129.4,105.06,0.333,0.143
Brooklyn Nets,1628971,B. Brown,1610612751,7:31,1,3,0,1,0,0,1,1,2,1,2,82.4,131.3,105.37,0.333,0.238
Brooklyn Nets,1627789,T. Luwawu-Cabarrot,1610612751,6:36,2,6,1,3,0,0,2,0,1,2,5,80.0,140.0,109.09,0.417,0.389
Brooklyn Nets,1629066,R. Kurucs,1610612751,6:36,1,1,1,1,0,0,1,0,0,0,3,80.0,140.0,109.09,1.5,0.056
Brooklyn Nets,204020,T. Johnson,1610612751,5:59,0,1,0,0,0,0,1,0,0,0,0,64.3,161.5,108.3,0.0,0.059
