teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Miami Heat,202710,J. Butler,1610612748,35:42,7,15,0,0,5,5,3,7,6,1,19,101.2,106.1,109.58,0.552,0.277
Miami Heat,203090,M. Harkless,1610612748,22:43,1,4,1,2,0,0,2,1,0,0,3,94.2,100.0,110.96,0.375,0.077
Miami Heat,1628389,B. Adebayo,1610612748,34:41,11,16,0,0,3,4,11,4,7,4,25,94.9,108.8,110.0,0.704,0.298
Miami Heat,1629130,D. Robinson,1610612748,30:21,4,8,3,6,3,3,5,1,1,2,14,105.7,109.7,112.31,0.751,0.137
Miami Heat,1629639,T. Herro,1610612748,32:07,6,14,1,5,0,0,6,4,4,3,13,91.8,98.7,110.62,0.464,0.231
Miami Heat,201609,G. Dragic,1610612748,25:58,8,13,1,4,3,3,4,7,1,4,20,105.2,94.7,106.32,0.698,0.231
Miami Heat,2738,A. Iguodala,1610612748,16:50,0,2,0,0,0,0,4,0,3,3,0,111.4,116.7,101.28,0.0,0.122
Miami Heat,203482,K. Olynyk,1610612748,19:59,2,6,1,3,0,0,3,1,0,2,5,90.5,102.5,98.51,0.417,0.12
Miami Heat,1630173,P. Achiuwa,1610612748,13:39,3,4,0,0,2,4,3,0,0,2,8,110.3,86.7,103.74,0.694,0.188
Miami Heat,1629134,K. Nunn,1610612748,8:02,0,1,0,0,0,0,2,0,0,0,0,100.0,129.4,104.56,0.0,0.053
Miami Heat,202340,A. Bradley,1610612748,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miami Heat,2617,U. Haslem,1610612748,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miami Heat,203086,M. Leonard,1610612748,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miami Heat,1629644,K. Okpala,1610612748,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Miami Heat,1629735,C. Silva,1610612748,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,1628407,D. Bacon,1610612753,18:59,0,5,0,1,0,0,3,3,0,2,0,93.3,93.3,113.78,0.0,0.102
Orlando Magic,203932,A. Gordon,1610612753,26:00,8,11,1,4,3,6,7,0,2,4,20,119.3,89.5,105.23,0.733,0.246
Orlando Magic,202696,N. Vucevic,1610612753,33:33,5,13,3,5,2,8,11,3,2,0,15,97.5,98.7,112.31,0.454,0.216
Orlando Magic,203095,E. Fournier,1610612753,30:43,9,13,3,5,4,5,0,4,2,2,25,101.4,105.6,113.29,0.822,0.2
Orlando Magic,1628365,M. Fultz,1610612753,28:49,6,15,0,3,3,3,5,4,4,4,15,109.1,104.5,109.94,0.46,0.274
Orlando Magic,1629643,C. Okeke,1610612753,22:00,1,3,0,1,1,2,5,2,1,0,3,90.0,109.8,110.18,0.387,0.089
Orlando Magic,203082,T. Ross,1610612753,28:33,6,14,3,6,4,4,3,1,3,1,19,115.3,101.7,98.38,0.603,0.275
Orlando Magic,1630175,C. Anthony,1610612753,19:11,3,5,0,1,0,0,2,6,3,1,6,97.6,92.7,103.84,0.6,0.163
Orlando Magic,203920,K. Birch,1610612753,14:27,2,4,0,0,2,2,2,0,0,3,6,120.0,100.0,99.65,0.615,0.147
Orlando Magic,203487,M. Carter-Williams,1610612753,17:46,2,5,0,2,0,0,3,0,0,2,4,105.1,100.0,104.06,0.4,0.109
Orlando Magic,1628964,M. Bamba,1610612753,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,1629648,J. Bone,1610612753,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,1629109,G. Clark,1610612753,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,1630211,K. Mane,1610612753,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
