teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Utah Jazz,202711,B. Bogdanovic,1610612762,33:12,5,14,4,11,1,1,6,2,3,2,15,123.5,91.2,98.3,0.519,0.218
Utah Jazz,1626220,R. O'Neale,1610612762,28:04,0,5,0,4,0,0,7,0,0,3,0,119.3,110.7,96.61,0.0,0.076
Utah Jazz,203497,R. Gobert,1610612762,28:07,8,10,0,0,4,6,17,2,2,2,20,118.6,91.7,101.56,0.791,0.215
Utah Jazz,1628378,D. Mitchell,1610612762,30:47,6,16,4,10,4,4,3,5,2,2,20,123.8,104.7,99.01,0.563,0.282
Utah Jazz,201144,M. Conley,1610612762,29:35,6,15,4,7,2,3,3,2,2,3,18,114.3,92.1,102.23,0.551,0.257
Utah Jazz,204060,J. Ingles,1610612762,26:43,5,10,3,8,1,1,5,7,1,0,14,124.6,101.8,101.51,0.67,0.175
Utah Jazz,202324,D. Favors,1610612762,16:18,5,5,0,0,0,0,7,3,0,3,10,117.6,102.9,100.15,1.0,0.128
Utah Jazz,203903,J. Clarkson,1610612762,22:09,6,12,3,6,0,0,7,1,1,0,15,120.8,87.5,104.02,0.625,0.245
Utah Jazz,1627777,G. Niang,1610612762,8:31,0,2,0,2,0,0,0,0,0,1,0,78.9,57.9,107.08,0.0,0.095
Utah Jazz,1629671,M. Oni,1610612762,3:52,1,2,1,1,0,0,1,1,0,0,3,125.0,150.0,99.52,0.75,0.2
Utah Jazz,1627885,S. Harrison,1610612762,2:49,0,0,0,0,0,0,0,0,0,0,0,114.3,128.6,119.22,0.0,0.0
Utah Jazz,1628962,U. Azubuike,1610612762,3:35,1,1,0,0,0,0,1,0,0,0,2,125.0,142.9,100.47,1.0,0.1
Utah Jazz,1629752,J. Morgan,1610612762,3:09,0,1,0,1,0,0,1,0,0,0,0,114.3,142.9,106.67,0.0,0.125
Utah Jazz,1630190,E. Hughes,1610612762,3:09,0,1,0,0,3,4,1,1,0,0,3,114.3,142.9,106.67,0.543,0.375
Portland Trail Blazers,1627884,D. Jones Jr.,1610612757,25:35,3,9,3,5,0,0,4,0,1,3,9,96.2,126.4,99.44,0.5,0.172
Portland Trail Blazers,203496,R. Covington,1610612757,21:25,0,3,0,3,1,2,4,3,0,2,1,88.9,126.1,101.98,0.129,0.089
Portland Trail Blazers,203994,J. Nurkic,1610612757,21:52,5,9,1,2,2,2,3,3,2,3,13,93.5,110.4,103.2,0.658,0.245
Portland Trail Blazers,203468,C. McCollum,1610612757,34:10,7,19,3,8,6,6,4,3,0,3,23,102.8,115.1,101.15,0.531,0.289
Portland Trail Blazers,203081,D. Lillard,1610612757,33:41,4,12,1,7,0,1,4,7,1,1,9,92.8,119.7,99.75,0.362,0.176
Portland Trail Blazers,1629018,G. Trent Jr.,1610612757,26:08,4,12,3,5,0,0,2,3,0,0,11,105.6,124.1,99.16,0.458,0.203
Portland Trail Blazers,2546,C. Anthony,1610612757,24:04,5,12,0,0,5,6,4,0,1,2,15,110.2,114.0,98.73,0.512,0.286
Portland Trail Blazers,202683,E. Freedom,1610612757,25:54,7,7,0,0,0,0,8,0,0,0,14,107.5,124.1,99.15,1.0,0.121
Portland Trail Blazers,203918,R. Hood,1610612757,13:50,0,3,0,0,0,0,3,2,0,0,0,100.0,106.7,105.83,0.0,0.091
Portland Trail Blazers,1628385,H. Giles III,1610612757,4:27,1,2,1,1,0,0,2,0,0,1,3,111.1,111.1,97.08,0.75,0.2
Portland Trail Blazers,1629833,K. Blevins,1610612757,4:27,0,2,0,1,0,0,0,1,1,1,0,111.1,111.1,97.08,0.0,0.3
Portland Trail Blazers,1629604,C. Elleby,1610612757,4:27,1,2,0,1,0,0,2,1,0,2,2,111.1,111.1,97.08,0.5,0.2
