teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
New Orleans Pelicans,1627742,B. Ingram,1610612740,37:20,10,19,3,6,1,2,9,11,3,2,24,113.0,88.6,100.29,0.604,0.271
New Orleans Pelicans,1629627,Z. Williamson,1610612740,29:34,7,9,0,0,1,4,10,3,6,3,15,104.4,95.6,110.39,0.697,0.218
New Orleans Pelicans,203500,S. Adams,1610612740,30:37,4,6,0,0,0,0,8,3,0,1,8,115.9,87.7,100.34,0.667,0.086
New Orleans Pelicans,1628366,L. Ball,1610612740,28:48,4,9,4,8,4,6,5,2,5,3,16,109.7,83.9,103.33,0.687,0.239
New Orleans Pelicans,202339,E. Bledsoe,1610612740,34:27,6,12,4,8,2,4,2,6,4,1,18,110.5,102.6,107.29,0.654,0.214
New Orleans Pelicans,200755,J. Redick,1610612740,28:52,8,14,6,11,1,1,3,1,1,4,23,104.8,87.5,105.59,0.796,0.211
New Orleans Pelicans,1628404,J. Hart,1610612740,26:41,2,5,1,4,1,3,5,1,2,2,6,103.4,86.9,107.93,0.475,0.119
New Orleans Pelicans,1629637,J. Hayes,1610612740,6:17,0,0,0,0,0,0,0,1,1,1,0,106.7,100.0,114.59,0.0,0.056
New Orleans Pelicans,1629740,N. Melli,1610612740,13:31,0,4,0,3,0,0,2,2,1,0,0,100.0,119.4,110.09,0.0,0.147
New Orleans Pelicans,1629638,N. Alexander-Walker,1610612740,3:53,1,2,1,2,0,0,1,0,1,0,3,114.3,125.0,92.7,0.75,0.375
New Orleans Pelicans,1626195,W. Hernangomez,1610612740,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
New Orleans Pelicans,1630184,K. Lewis Jr.,1610612740,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
New Orleans Pelicans,1630230,N. Marshall,1610612740,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
New Orleans Pelicans,1628414,S. Thornwell,1610612740,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,1628384,O. Anunoby,1610612761,36:13,4,10,0,5,0,0,8,2,4,4,8,90.2,108.6,108.02,0.4,0.154
Toronto Raptors,1627783,P. Siakam,1610612761,38:41,8,17,3,7,1,2,6,6,4,1,20,90.5,111.0,102.99,0.559,0.232
Toronto Raptors,203382,A. Baynes,1610612761,28:06,5,9,1,4,0,0,9,0,1,2,11,88.5,120.3,102.49,0.611,0.149
Toronto Raptors,200768,K. Lowry,1610612761,38:33,7,15,4,9,0,0,1,10,6,3,18,102.3,105.8,108.32,0.6,0.216
Toronto Raptors,1627832,F. VanVleet,1610612761,29:37,3,12,2,8,1,2,3,3,1,4,9,75.8,103.2,101.3,0.349,0.194
Toronto Raptors,1626181,N. Powell,1610612761,23:08,2,11,1,6,7,8,1,1,0,4,12,90.4,117.6,106.85,0.413,0.25
Toronto Raptors,1629744,M. Thomas,1610612761,20:17,3,6,3,5,0,0,2,4,0,2,9,113.6,118.6,102.95,0.75,0.12
Toronto Raptors,1628449,C. Boucher,1610612761,14:47,6,8,0,1,0,0,5,0,2,2,12,108.6,100.0,115.26,0.75,0.256
Toronto Raptors,1627761,D. Bembry,1610612761,5:31,0,0,0,0,0,0,0,0,1,0,0,85.7,57.1,121.85,0.0,0.059
Toronto Raptors,1629056,T. Davis,1610612761,2:35,0,0,0,0,0,0,0,0,1,0,0,60.0,66.7,102.13,0.0,0.143
Toronto Raptors,1626169,S. Johnson,1610612761,1:16,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,75.79,0.0,0.0
Toronto Raptors,1630201,M. Flynn,1610612761,1:16,0,1,0,1,0,0,0,0,0,0,0,100.0,0.0,75.79,0.0,0.333
Toronto Raptors,203458,A. Len,1610612761,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,1629139,Y. Watanabe,1610612761,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,1628778,P. Watson,1610612761,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
