teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Detroit Pistons,203924,J. Grant,1610612765,31:25,4,11,1,5,0,0,1,3,0,0,9,100.0,123.8,97.02,0.409,0.157
Detroit Pistons,201933,B. Griffin,1610612765,35:00,6,13,0,5,3,5,7,2,2,2,15,100.0,122.2,99.43,0.493,0.218
Detroit Pistons,203486,M. Plumlee,1610612765,32:12,7,8,0,0,0,0,8,6,0,4,14,109.2,125.0,96.15,0.875,0.116
Detroit Pistons,1626153,D. Wright,1610612765,19:09,2,5,1,3,0,0,2,4,1,0,5,121.1,113.2,95.25,0.5,0.146
Detroit Pistons,1630165,K. Hayes,1610612765,21:12,3,6,1,2,0,0,1,3,4,2,7,109.1,118.6,98.49,0.583,0.2
Detroit Pistons,201565,D. Rose,1610612765,26:48,7,13,1,3,0,2,1,6,1,1,15,86.9,101.7,107.46,0.54,0.224
Detroit Pistons,1628367,J. Jackson,1610612765,28:51,8,14,3,7,0,0,6,2,2,5,19,85.9,107.9,105.65,0.679,0.219
Detroit Pistons,1626143,J. Okafor,1610612765,15:18,4,7,0,0,0,0,7,1,2,4,8,85.7,86.1,111.37,0.571,0.209
Detroit Pistons,1629004,S. Mykhailiuk,1610612765,16:35,1,8,1,8,0,0,2,1,0,1,3,94.9,84.6,112.88,0.188,0.178
Detroit Pistons,1629635,S. Doumbouya,1610612765,13:30,3,8,0,2,0,1,9,1,0,1,6,90.3,74.2,110.22,0.355,0.211
Detroit Pistons,1630180,S. Bey,1610612765,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,201961,W. Ellington,1610612765,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,1630240,S. Lee,1610612765,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,203585,R. McGruder,1610612765,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,1630191,I. Stewart,1610612765,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Minnesota Timberwolves,1629006,J. Okogie,1610612750,32:33,4,9,1,4,3,3,4,2,2,3,12,125.0,100.0,100.28,0.581,0.156
Minnesota Timberwolves,1627774,J. Layman,1610612750,16:33,0,3,0,1,0,0,1,0,0,0,0,84.4,135.5,91.36,0.0,0.081
Minnesota Timberwolves,1626157,K. Towns,1610612750,30:25,6,10,2,4,8,8,11,7,4,4,22,121.9,104.7,100.98,0.814,0.254
Minnesota Timberwolves,1627736,M. Beasley,1610612750,26:37,10,18,3,9,0,0,4,2,1,3,23,122.2,101.9,96.48,0.639,0.306
Minnesota Timberwolves,201937,R. Rubio,1610612750,25:25,1,4,0,1,1,2,1,3,1,3,3,122.6,90.6,100.09,0.307,0.1
Minnesota Timberwolves,1630162,A. Edwards,1610612750,25:09,5,12,1,5,4,4,4,4,1,1,15,103.5,94.8,109.74,0.545,0.238
Minnesota Timberwolves,1626156,D. Russell,1610612750,33:20,7,16,4,11,0,0,5,4,2,2,18,107.1,94.6,103.68,0.563,0.228
Minnesota Timberwolves,1629675,N. Reid,1610612750,17:35,2,5,0,1,4,6,5,1,0,0,8,86.8,85.0,106.49,0.524,0.182
Minnesota Timberwolves,1627823,J. Hernangomez,1610612750,11:46,0,5,0,4,0,0,3,0,0,0,0,78.6,103.6,114.22,0.0,0.161
Minnesota Timberwolves,1629633,J. Culver,1610612750,20:37,3,6,0,1,4,5,10,2,0,0,10,97.8,79.2,109.43,0.61,0.157
Minnesota Timberwolves,202334,E. Davis,1610612750,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Minnesota Timberwolves,1630183,J. McDaniels,1610612750,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Minnesota Timberwolves,1629020,J. Vanderbilt,1610612750,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
