teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Washington Wizards,1629067,I. Bonga,1610612764,16:43,2,3,1,1,0,1,3,2,1,2,5,100.0,81.6,109.13,0.727,0.098
Washington Wizards,1630166,D. Avdija,1610612764,28:06,2,2,2,2,1,2,4,1,1,3,7,110.1,89.9,117.85,1.215,0.055
Washington Wizards,1628418,T. Bryant,1610612764,25:33,5,13,0,3,0,1,5,0,2,5,10,100.0,93.1,107.08,0.372,0.246
Washington Wizards,203078,B. Beal,1610612764,35:44,11,22,3,8,6,7,2,3,6,3,31,106.1,97.6,110.82,0.618,0.356
Washington Wizards,201566,R. Westbrook,1610612764,36:18,9,22,0,2,3,5,11,15,6,3,21,103.6,89.5,112.4,0.434,0.323
Washington Wizards,202397,I. Smith,1610612764,22:53,2,7,1,2,2,2,4,3,1,1,7,79.2,122.9,100.68,0.444,0.173
Washington Wizards,1628972,T. Brown Jr.,1610612764,22:26,1,3,1,2,0,0,3,1,0,2,3,87.0,140.0,97.36,0.5,0.059
Washington Wizards,201577,R. Lopez,1610612764,16:32,1,3,1,1,0,0,3,0,2,4,3,80.6,118.4,107.4,0.5,0.125
Washington Wizards,202722,D. Bertans,1610612764,20:08,4,7,4,6,2,2,3,1,0,0,14,95.9,100.0,118.01,0.888,0.151
Washington Wizards,203526,R. Neto,1610612764,9:42,0,1,0,0,2,3,0,1,0,0,2,78.9,152.6,94.02,0.431,0.095
Washington Wizards,1629021,M. Wagner,1610612764,5:55,2,2,0,0,0,0,2,1,0,3,4,146.7,93.3,121.76,1.0,0.133
Washington Wizards,1630264,A. Gill,1610612764,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Washington Wizards,1628394,A. Pasecniks,1610612764,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Washington Wizards,1629010,J. Robinson,1610612764,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,201980,D. Green,1610612755,18:16,1,6,0,4,0,0,0,2,1,2,2,57.8,120.5,116.93,0.167,0.146
Philadelphia 76ers,202699,T. Harris,1610612755,31:08,3,13,0,4,4,4,8,0,2,4,10,98.6,110.0,110.24,0.339,0.2
Philadelphia 76ers,203954,J. Embiid,1610612755,34:50,10,17,1,1,8,9,14,2,3,3,29,105.1,109.0,108.17,0.692,0.273
Philadelphia 76ers,203552,S. Curry,1610612755,32:16,4,8,1,5,4,4,0,4,1,4,13,105.4,111.3,107.87,0.666,0.133
Philadelphia 76ers,1627732,B. Simmons,1610612755,32:25,7,12,0,0,2,6,9,7,4,3,16,96.2,102.6,114.76,0.546,0.211
Philadelphia 76ers,1629003,S. Milton,1610612755,29:44,6,11,2,4,5,7,1,3,0,3,19,135.9,84.4,103.32,0.675,0.187
Philadelphia 76ers,2730,D. Howard,1610612755,13:10,2,2,0,0,0,0,10,2,2,3,4,100.0,71.0,111.19,1.0,0.114
Philadelphia 76ers,1627788,F. Korkmaz,1610612755,20:11,4,9,3,6,0,0,1,0,2,1,11,114.3,79.1,101.07,0.611,0.229
Philadelphia 76ers,203118,M. Scott,1610612755,16:52,1,3,1,3,0,0,2,0,0,1,3,113.9,81.1,103.87,0.5,0.081
Philadelphia 76ers,1630178,T. Maxey,1610612755,10:51,3,6,0,1,0,0,2,2,1,0,6,95.7,82.6,101.75,0.5,0.292
Philadelphia 76ers,1629680,M. Thybulle,1610612755,0:17,0,0,0,0,0,0,0,0,0,1,0,100.0,133.3,413.79,0.0,0.0
Philadelphia 76ers,1628396,T. Bradley,1610612755,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,1628390,T. Ferguson,1610612755,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,1630198,I. Joe,1610612755,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,1629751,D. Mathias,1610612755,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
