teamName,personId,nameI,teamId,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsTotal,assists,turnovers,foulsPersonal,points,offensiveRating,defensiveRating,pace,trueShootingPercentage,usagePercentage
Sacramento Kings,203084,H. Barnes,1610612758,41:57,8,15,0,3,5,7,9,5,1,1,21,112.2,111.4,101.84,0.581,0.181
Sacramento Kings,1628963,M. Bagley III,1610612758,27:21,5,15,0,4,3,4,10,0,2,6,13,121.7,118.3,105.3,0.388,0.279
Sacramento Kings,1626158,R. Holmes,1610612758,22:59,3,6,0,0,0,0,9,1,1,6,6,125.5,126.1,97.11,0.5,0.125
Sacramento Kings,1627741,B. Hield,1610612758,41:08,7,15,5,11,3,3,4,3,3,5,22,112.4,115.9,103.29,0.674,0.181
Sacramento Kings,1628368,D. Fox,1610612758,38:43,8,20,1,2,4,5,4,7,2,2,21,107.5,108.6,99.78,0.473,0.245
Sacramento Kings,202709,C. Joseph,1610612758,29:22,6,10,2,5,1,2,3,4,2,4,15,107.7,93.9,107.06,0.689,0.176
Sacramento Kings,202357,N. Bjelica,1610612758,15:56,3,8,0,1,4,4,4,2,1,3,10,100.0,109.1,97.91,0.512,0.275
Sacramento Kings,202355,H. Whiteside,1610612758,17:34,2,6,0,0,0,2,9,1,2,2,4,92.1,82.1,105.2,0.291,0.205
Sacramento Kings,1630169,T. Haliburton,1610612758,30:00,3,7,2,5,4,4,2,4,0,0,12,101.6,98.4,101.6,0.685,0.123
Sacramento Kings,1629657,K. Guy,1610612758,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,1629713,J. James,1610612758,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,1630186,J. Ramsey,1610612758,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,203922,G. Robinson III,1610612758,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,1630218,R. Woodard II,1610612758,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,1629008,M. Porter Jr.,1610612743,29:36,9,15,3,7,3,3,5,2,2,3,24,114.1,115.9,102.97,0.735,0.269
Denver Nuggets,200794,P. Millsap,1610612743,36:06,7,13,2,5,0,0,7,3,1,3,16,104.0,112.0,99.72,0.615,0.169
Denver Nuggets,203999,N. Jokic,1610612743,41:51,11,18,1,2,6,9,15,14,6,3,29,116.3,110.5,98.65,0.66,0.292
Denver Nuggets,203914,G. Harris,1610612743,41:33,4,9,0,4,2,2,2,2,0,2,10,117.2,111.5,100.51,0.506,0.102
Denver Nuggets,1627750,J. Murray,1610612743,34:27,1,9,0,5,7,7,4,1,2,6,9,120.8,116.7,100.32,0.373,0.173
Denver Nuggets,203115,W. Barton,1610612743,33:27,7,16,1,3,1,2,2,4,0,2,16,102.8,102.8,102.6,0.474,0.218
Denver Nuggets,1628408,P. Dozier,1610612743,14:40,3,5,0,1,1,1,5,2,1,1,7,87.5,100.0,107.95,0.643,0.167
Denver Nuggets,1628420,M. Morris,1610612743,16:19,1,6,0,1,0,0,2,0,1,0,2,94.4,117.1,104.43,0.167,0.179
Denver Nuggets,1630267,F. Campazzo,1610612743,8:08,1,1,1,1,0,0,1,0,0,1,3,70.6,94.1,100.33,1.5,0.059
Denver Nuggets,1628392,I. Hartenstein,1610612743,8:53,3,6,0,0,0,0,3,0,2,4,6,100.0,115.0,113.47,0.5,0.348
Denver Nuggets,1629626,B. Bol,1610612743,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,1628427,V. Cancar,1610612743,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,1630181,R. Hampton,1610612743,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,1630210,M. Howard,1610612743,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,1630192,Z. Nnaji,1610612743,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
