game_id,start_time,home_team,away_team,runline,pick,runs_total,prediction,outcome,completed,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
777230,11:10,Minnesota Twins,Tampa Bay Rays,10.0,Under,11,0,1,1,Yandy Díaz,Brandon Lowe,Junior Caminero,Jonathan Aranda,Jake Mangum,Josh Lowe,Taylor Walls,Chandler Simpson,Danny Jansen,Byron Buxton,Willi Castro,Trevor Larnach,Carlos Correa,Ryan Jeffers,Matt Wallner,Royce Lewis,Kody Clemens,Harrison Bader,Taj Bradley,Cole Sands
777231,12:07,Toronto Blue Jays,Los Angeles Angels,9.5,Over,6,1,0,0,Zach Neto,Nolan Schanuel,Mike Trout,Taylor Ward,Jo Adell,Jorge Soler,Logan O'Hoppe,Luis Rengifo,Chad Stevens,Nathan Lukes,George Springer,Vladimir Guerrero Jr.,Bo Bichette,Addison Barger,Alejandro Kirk,Will Wagner,Ernie Clement,Davis Schneider,Jack Kochanowicz,Max Scherzer
777229,11:20,Chicago Cubs,St. Louis Cardinals,11.5,Over,14,1,1,1,Brendan Donovan,Masyn Winn,Willson Contreras,Alec Burleson,Thomas Saggese,Lars Nootbaar,Nolan Gorman,Pedro Pagés,Victor Scott II,Ian Happ,Kyle Tucker,Seiya Suzuki,Pete Crow-Armstrong,Dansby Swanson,Carson Kelly,Michael Busch,Nico Hoerner,Matt Shaw,Matthew Liberatore,Drew Pomeranz
777233,13:05,Philadelphia Phillies,Cincinnati Reds,9.0,Over,1,1,0,0,Matt McLain,Santiago Espinal,Elly De La Cruz,Austin Hays,Spencer Steer,Noelvi Marte,Jose Trevino,Rece Hinds,Will Benson,Trea Turner,Kyle Schwarber,Bryce Harper,Alec Bohm,Nick Castellanos,J.T. Realmuto,Otto Kemp,Edmundo Sosa,Johan Rojas,Nick Lodolo,Ranger Suárez
777228,13:05,Washington Nationals,Boston Red Sox,10.0,Over,11,1,1,0,Nate Eaton,Romy Gonzalez,Roman Anthony,Rob Refsnyder,Carlos Narváez,Trevor Story,Jarren Duran,Abraham Toro,Ceddanne Rafaela,CJ Abrams,James Wood,Luis García Jr.,Nathaniel Lowe,Josh Bell,Brady House,Daylen Lile,Keibert Ruiz,Jacob Young,Walker Buehler,Mitchell Parker
777234,13:10,Arizona Diamondbacks,Kansas City Royals,9.0,Under,2,0,0,0,Jonathan India,Bobby Witt Jr.,Vinnie Pasquantino,Maikel Garcia,Salvador Perez,Jac Caglianone,Nick Loftin,Freddy Fermin,Kyle Isbel,Corbin Carroll,Geraldo Perdomo,Pavin Smith,Josh Naylor,Eugenio Suárez,Lourdes Gurriel Jr.,James McCann,Alek Thomas,Blaze Alexander,Michael Wacha,Ryne Nelson
777241,13:10,New York Mets,New York Yankees,9.5,Over,7,1,0,0,Trent Grisham,Aaron Judge,Cody Bellinger,Ben Rice,Jazz Chisholm Jr.,Jasson Domínguez,Anthony Volpe,Austin Wells,Oswald Peraza,Starling Marte,Francisco Lindor,Juan Soto,Pete Alonso,Brandon Nimmo,Mark Vientos,Luis Torrens,Jeff McNeil,Tyrone Taylor,Carlos Rodón,Frankie Montas
777237,13:10,Atlanta Braves,Baltimore Orioles,9.0,Under,8,0,0,0,Jackson Holliday,Jordan Westburg,Gunnar Henderson,Ramón Laureano,Ryan O'Hearn,Gary Sánchez,Colton Cowser,Tyler O'Neill,Cedric Mullins,Ronald Acuña Jr.,Matt Olson,Austin Riley,Jurickson Profar,Drake Baldwin,Marcell Ozuna,Ozzie Albies,Michael Harris II,Nick Allen,Dean Kremer,Aaron Bummer
777221,16:15,Los Angeles Dodgers,Houston Astros,8.5,Under,0,0,0,0,Isaac Paredes,Cam Smith,Jose Altuve,Christian Walker,Victor Caratini,Yainer Diaz,Cooper Hummel,Mauricio Dubón,Zack Short,Shohei Ohtani,Mookie Betts,Will Smith,Freddie Freeman,Teoscar Hernández,Andy Pages,Tommy Edman,Enrique Hernández,Miguel Rojas,Framber Valdez,Shohei Ohtani
777240,16:15,Cleveland Guardians,Detroit Tigers,9.0,Over,0,1,0,0,Matt Vierling,Gleyber Torres,Jahmai Jones,Riley Greene,Spencer Torkelson,Wenceel Pérez,Javier Báez,Zach McKinstry,Jake Rogers,Steven Kwan,Nolan Jones,José Ramírez,Carlos Santana,Daniel Schneemann,Angel Martínez,Bo Naylor,Johnathan Rodríguez,Brayan Rocchio,Casey Mize,Logan Allen
