date,game_id,home_team,away_team,runline,runs_total,prediction,outcome
2025-08-11,776785,Texas Rangers,Arizona Diamondbacks,7.5,13.0,0,1
2025-08-11,776779,Los Angeles Angels,Los Angeles Dodgers,8.5,11.0,1,1
2025-08-11,776782,Houston Astros,Boston Red Sox,7.5,13.0,0,1
2025-08-11,776780,San Francisco Giants,San Diego Padres,7.0,5.0,1,0
2025-08-11,776787,Athletics,Tampa Bay Rays,10.0,11.0,0,1
2025-04-18,778268,Chicago Cubs,Arizona Diamondbacks,11.5,24.0,0,1
2025-04-18,778277,Detroit Tigers,Kansas City Royals,7.5,10.0,1,1
2025-04-18,778274,Philadelphia Phillies,Miami Marlins,8.0,9.0,0,1
2025-04-18,778271,Pittsburgh Pirates,Cleveland Guardians,9.0,17.0,0,1
2025-04-18,778273,Toronto Blue Jays,Seattle Mariners,8.0,4.0,1,0
2025-04-18,778276,Baltimore Orioles,Cincinnati Reds,9.0,11.0,1,1
2025-04-18,778272,Tampa Bay Rays,New York Yankees,8.0,1.0,0,0
2025-04-18,778270,New York Mets,St. Louis Cardinals,8.5,9.0,0,1
2025-04-18,778275,Boston Red Sox,Chicago White Sox,9.5,13.0,0,1
2025-04-18,778284,Atlanta Braves,Minnesota Twins,8.0,10.0,1,1
2025-04-18,778263,Texas Rangers,Los Angeles Dodgers,7.5,3.0,0,0
2025-04-18,778269,Houston Astros,San Diego Padres,9.0,10.0,1,1
2025-04-18,778261,Milwaukee Brewers,Athletics,8.0,8.0,1,
2025-07-27,776986,Baltimore Orioles,Colorado Rockies,10.0,6.0,0,0
2025-07-27,776984,Pittsburgh Pirates,Arizona Diamondbacks,7.5,6.0,0,0
2025-07-27,776983,Boston Red Sox,Los Angeles Dodgers,10.0,7.0,1,0
2025-07-27,776982,Cincinnati Reds,Tampa Bay Rays,9.5,3.0,0,0
2025-07-27,776988,New York Yankees,Philadelphia Phillies,7.5,7.0,1,0
2025-07-27,776987,Detroit Tigers,Toronto Blue Jays,8.5,14.0,1,1
2025-07-27,776975,Kansas City Royals,Cleveland Guardians,8.5,5.0,0,0
2025-07-27,776976,Houston Astros,Athletics,8.0,8.0,0,
2025-07-27,776979,Minnesota Twins,Washington Nationals,9.5,9.0,0,0
2025-07-27,776989,Chicago White Sox,Chicago Cubs,8.5,9.0,0,1
2025-07-27,776978,Milwaukee Brewers,Miami Marlins,7.5,5.0,0,0
2025-07-27,776981,Texas Rangers,Atlanta Braves,9.0,9.0,1,
2025-07-27,776980,St. Louis Cardinals,San Diego Padres,8.5,11.0,0,1
2025-07-27,776977,Los Angeles Angels,Seattle Mariners,8.5,5.0,0,0
2025-07-27,776974,San Francisco Giants,New York Mets,8.0,8.0,0,
2025-07-20,777079,Toronto Blue Jays,San Francisco Giants,8.5,14.0,1,1
2025-07-20,777077,Washington Nationals,San Diego Padres,8.0,9.0,0,1
2025-07-20,777076,Tampa Bay Rays,Baltimore Orioles,8.5,8.0,0,0
2025-07-20,777078,Philadelphia Phillies,Los Angeles Angels,9.0,10.0,1,1
2025-07-20,777074,Pittsburgh Pirates,Chicago White Sox,9.5,9.0,0,0
2025-07-20,777087,New York Mets,Cincinnati Reds,8.0,5.0,0,0
2025-07-20,777083,Atlanta Braves,New York Yankees,10.5,6.0,0,0
2025-07-20,777084,Cleveland Guardians,Athletics,7.5,10.0,0,1
2025-07-20,777082,Miami Marlins,Kansas City Royals,7.5,11.0,0,1
2025-07-20,777075,Chicago Cubs,Boston Red Sox,6.5,7.0,1,1
2025-07-20,777067,Seattle Mariners,Houston Astros,6.5,14.0,1,1
2025-07-20,777072,Colorado Rockies,Minnesota Twins,10.5,8.0,0,0
2025-07-20,777071,Arizona Diamondbacks,St. Louis Cardinals,9.0,8.0,0,0
2025-07-20,777070,Los Angeles Dodgers,Milwaukee Brewers,9.0,11.0,0,1
2025-07-20,777073,Texas Rangers,Detroit Tigers,7.0,3.0,0,0
2025-05-24,777809,Boston Red Sox,Baltimore Orioles,9.0,11.0,1,1
2025-05-24,777788,Minnesota Twins,Kansas City Royals,7.5,9.0,0,1
2025-05-24,777790,Boston Red Sox,Baltimore Orioles,9.0,3.0,0,0
2025-05-24,777786,St. Louis Cardinals,Arizona Diamondbacks,7.5,11.0,0,1
2025-05-24,777793,Washington Nationals,San Francisco Giants,8.5,3.0,0,0
2025-05-24,777791,Cincinnati Reds,Chicago Cubs,9.0,10.0,0,1
2025-05-24,777794,Pittsburgh Pirates,Milwaukee Brewers,8.5,3.0,0,0
2025-05-24,777787,Houston Astros,Seattle Mariners,7.0,3.0,0,0
2025-05-24,777803,Atlanta Braves,San Diego Padres,9.0,8.0,0,0
2025-05-24,777792,Chicago White Sox,Texas Rangers,8.5,15.0,0,1
2025-05-24,777782,Colorado Rockies,New York Yankees,10.5,14.0,0,1
2025-05-24,777795,Tampa Bay Rays,Toronto Blue Jays,8.0,4.0,0,0
2025-05-24,777789,New York Mets,Los Angeles Dodgers,8.5,7.0,0,0
2025-05-24,777796,Detroit Tigers,Cleveland Guardians,8.0,12.0,0,1
2025-05-24,777781,Los Angeles Angels,Miami Marlins,8.5,8.0,0,0
