game_id,home_team,away_team,runline,pick,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
778375,Cleveland Guardians,Kansas City Royals,7.0,Under,,,,,,,,,,,,,,,,,,,,
778372,Baltimore Orioles,Toronto Blue Jays,8.0,Under,,,,,,,,,,,,,,,,,,,,
778374,Cincinnati Reds,Pittsburgh Pirates,8.0,Under,,,,,,,,,,,,,,,,,,,,
778367,Tampa Bay Rays,Atlanta Braves,9.0,Under,,,,,,,,,,,,,,,,,,,,
778370,New York Yankees,San Francisco Giants,8.0,Under,,,,,,,,,,,,,,,,,,,,
778369,Miami Marlins,Washington Nationals,8.0,Under,,,,,,,,,,,,,,,,,,,,
778366,Chicago White Sox,Boston Red Sox,8.0,Under,,,,,,,,,,,,,,,,,,,,
778368,Houston Astros,Los Angeles Angels,8.5,Under,,,,,,,,,,,,,,,,,,,,
778365,St. Louis Cardinals,Philadelphia Phillies,7.5,Under,,,,,,,,,,,,,,,,,,,,
778361,San Diego Padres,Colorado Rockies,7.5,Under,,,,,,,,,,,,,,,,,,,,
778363,Minnesota Twins,Detroit Tigers,8.0,Under,,,,,,,,,,,,,,,,,,,,
778360,Seattle Mariners,Texas Rangers,6.5,Under,,,,,,,,,,,,,,,,,,,,
778358,Athletics,New York Mets,9.5,Under,,,,,,,,,,,,,,,,,,,,
778356,Los Angeles Dodgers,Chicago Cubs,8.0,Under,,,,,,,,,,,,,,,,,,,,
