pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2021-07-16,80.6,-2.14,5.43,"Wacha, Michael",608379,450203,strikeout,called_strike,,,,,9,Michael Wacha called out on strikes.,R,R,R,ATL,TB,S,2.0,,1,2,2021,1.27,-0.62,0.6,1.72,572287.0,670764.0,,1,4,Top,,,,,607345,,,3.678134047865024,-117.40782615240695,-0.4379915539491995,11.147690510813904,21.3007508933188,-38.08386602489916,3.52,1.68,,,,81.0,3033,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.06,,0.0,0.0,1.0,0.0,0.0,,29,6,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,61,0.06,-0.54,,
FF,2021-07-16,94.8,-2.05,5.56,"Wacha, Michael",608379,450203,,foul,,,,,11,Michael Wacha called out on strikes.,R,R,R,ATL,TB,S,,,1,2,2021,-0.88,1.05,-1.21,3.25,572287.0,670764.0,,1,4,Top,,,,,607345,,,4.19539927491626,-138.1220531705835,-2.7945520098588235,-12.2115443570871,26.72093013810624,-18.277340849583013,3.66,1.68,212.0,70.4,30.0,95.9,2423,6.5,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,53.96,,,,,,,,29,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Strategic,236,0.0,0.0,,
CU,2021-07-16,81.2,-2.06,5.38,"Wacha, Michael",608379,450203,,blocked_ball,,,,,14,Michael Wacha called out on strikes.,R,R,R,ATL,TB,B,,,0,2,2021,1.06,-0.73,1.62,0.48,572287.0,670764.0,,1,4,Top,,,,,607345,,,6.202266653302495,-118.08487348459884,-2.945987101648396,8.738552877056549,22.601754853402788,-38.66235878361472,3.48,1.69,,,,81.3,3019,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.07,,,,,,,,29,4,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,39,0.0,0.055,,
CU,2021-07-16,81.0,-2.28,5.39,"Wacha, Michael",608379,450203,,foul,,,,,6,Michael Wacha called out on strikes.,R,R,R,ATL,TB,S,,,0,2,2021,1.34,-0.83,0.39,2.46,572287.0,670764.0,,1,4,Top,,,,,607345,,,3.4201135332324264,-117.98811867622906,1.660982072009818,11.880441653572722,22.37095349642032,-40.4233669993808,3.66,1.68,2.0,59.3,-56.0,81.2,3104,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.14,,,,,,,,29,3,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,58,0.0,0.0,,
SI,2021-07-16,94.1,-2.02,5.45,"Wacha, Michael",608379,450203,,called_strike,,,,,7,Michael Wacha called out on strikes.,R,R,R,ATL,TB,S,,,0,1,2021,-1.23,0.27,-0.46,1.63,572287.0,670764.0,,1,4,Top,,,,,607345,,,6.781653499307565,-136.87914726661143,-4.850349255724014,-16.995002615604935,28.88349159393344,-27.874702004289936,3.66,1.74,,,,94.5,1969,6.5,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.05,,,,,,,,29,2,Sinker,0,2,2,0,2,0,2,0,Strategic,Strategic,246,0.0,-0.143,,
CU,2021-07-16,80.4,-2.03,5.5,"Wacha, Michael",608379,450203,,called_strike,,,,,8,Michael Wacha called out on strikes.,R,R,R,ATL,TB,S,,,0,0,2021,1.17,-0.68,0.0,1.93,572287.0,670764.0,,1,4,Top,,,,,607345,,,2.289675315119608,-117.0892922575948,0.0409969106391481,10.32960778516232,21.905855387019947,-38.67900721656361,3.65,1.76,,,,80.6,2943,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.12,,,,,,,,29,1,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,54,0.0,-0.113,,
CU,2021-07-16,80.7,-2.17,5.6,"Wacha, Michael",608379,450203,strikeout,swinging_strike,,,,,6,Michael Wacha strikes out swinging.,R,R,R,ATL,TB,S,2.0,,0,2,2021,1.58,-0.41,0.3,2.59,,595281.0,670764.0,1,2,Top,,,,,607345,,,2.4856610140629827,-117.541091042418,0.725515571528853,14.211048757348744,22.26868119579223,-36.30826840040522,3.66,1.68,,,,80.8,3080,6.3,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.17,,0.0,0.0,1.0,0.0,0.0,,13,3,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,58,0.032,-0.301,,
CU,2021-07-16,81.4,-1.97,5.47,"Wacha, Michael",608379,450203,,called_strike,,,,,14,Michael Wacha strikes out swinging.,R,R,R,ATL,TB,S,,,0,1,2021,1.37,-0.85,0.84,1.93,,595281.0,670764.0,1,2,Top,,,,,607345,,,3.6716202663860633,-118.6057042311628,0.2696510673540437,12.280197909682938,22.344965582548305,-40.49459679543317,3.67,1.71,,,,81.7,3055,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.11,,,,,,,,13,2,Curveball,0,2,2,0,2,0,2,0,Strategic,Strategic,54,0.0,-0.113,,
FF,2021-07-16,95.1,-2.05,5.43,"Wacha, Michael",608379,450203,,foul,,,,,5,Michael Wacha strikes out swinging.,R,R,R,ATL,TB,S,,,0,0,2021,-1.04,1.01,0.17,2.94,,595281.0,670764.0,1,2,Top,,,,,607345,,,8.162452903592717,-138.25108591787787,-3.174971786217001,-15.147183882905152,30.31435245333333,-18.66356770002477,3.66,1.68,253.0,75.3,43.0,95.3,2268,6.4,633265,450203,607345,518692,645277,663586,621020,606115,628338,501659,54.06,,,,,,,,13,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Strategic,239,0.0,-0.073,,
FF,2021-06-30,95.7,-1.22,5.62,"Wacha, Michael",608379,600921,strikeout,called_strike,,,,,6,Michael Wacha called out on strikes.,R,R,R,WSH,TB,S,2.0,,1,2,2021,-0.26,1.29,0.63,2.5,,,,2,6,Top,,,,,543228,,,5.515324125730651,-139.40096802624004,-5.653129062447068,-4.484371601265505,27.528205812019834,-14.231615584539828,3.61,1.71,,,,97.2,2033,6.8,633427,600921,543228,605137,474568,516770,607208,656941,467827,665742,53.7,,0.0,0.0,1.0,0.0,0.0,,55,4,4-Seam Fastball,8,5,5,8,5,8,5,8,Standard,Standard,194,0.009,-0.073,,
