,Name,Tm,mlbID,key_bbref
1,Fernando Abad,"Baltimore,Colorado",472551,abadfe01
2,Andrew Abbott,Cincinnati,671096,abbotan01
3,Cory Abbott,"Chicago,Washington",676265,abbotco01
4,Albert Abreu,"Kansas City,New York,Texas",656061,abreual01
5,Bryan Abreu,Houston,650556,abreubr01
6,Domingo Acevedo,Oakland,642758,acevedo01
7,Garrett Acton,Oakland,670183,actonga01
8,Jason Adam,"Chicago,San Diego,Tampa Bay",592094,adamja01
9,Austin Adams,"Arizona,Oakland,San Diego",613534,adamsau02
10,Ty Adcock,"New York,Seattle",686654,adcocty01
11,Joan Adon,Washington,672851,adonjo01
12,Ehire Adrianza,Washington,501303,adriaeh01
13,Julian Aguiar,Cincinnati,687924,aguiaju01
14,Miguel Aguilar,Arizona,620396,aguilmi01
15,Keegan Akin,Baltimore,669211,akinke01
16,R.J. Alaniz,Cincinnati,595798,alanirj01
17,Andrew Albers,Minnesota,452027,alberan01
18,Hanser Alberto,"Chicago,Kansas City,Los Angeles",593643,alberha01
19,Jorge Alcal\xc3\xa1,Minnesota,660896,alcaljo01
20,Sandy Alc\xc3\xa1ntara,Miami,645261,alcansa01
21,Sergio Alc\xc3\xa1ntara,Chicago,642727,alcanse01
22,Sam Aldegheri,Los Angeles,691951,aldegsa01
23,Jason Alexander,Milwaukee,669920,alexaja01
24,Scott Alexander,"Los Angeles,Oakland,San Francisco",518397,alexasc02
25,Tyler Alexander,"Detroit,Tampa Bay",641302,alexaty01
27,A.J. Alexy,Texas,669935,alexyaj01
28,Kolby Allard,"Atlanta,Philadelphia,Texas",663465,allarko01
29,Cam Alldred,Pittsburgh,682027,alldrca01
30,Logan Allen,"Arizona,Baltimore,Cleveland",663531,allenlo01
31,Logan Allen,Cleveland,671106,allenlo02
32,Nick Allgeyer,Toronto,680430,allgeni01
33,Yency Almonte,"Chicago,Colorado,Los Angeles",622075,almonye01
34,Albert Almora,New York,546991,almoral01
35,Dan Altavilla,"Kansas City,San Diego",656186,altavda01
36,Jos\xc3\xa9 Alvarado,Philadelphia,621237,alvarjo03
37,Eddy Alvarez,New York,657193,alvared01
38,Jos\xc3\xa9 \xc3\x81lvarez,San Francisco,501625,alvarjo02
39,R.J. Alvarez,New York,571439,alvarrj01
40,Adbert Alzolay,Chicago,640470,alzolad01
41,Brett Anderson,Milwaukee,474463,anderbr04
42,Chase Anderson,"Boston,Cincinnati,Colorado,Philadelphia,Tampa Bay,Texas",502624,anderch01
43,Drew Anderson,Texas,623454,anderdr02
44,Grant Anderson,Texas,681982,andergr01
45,Ian Anderson,Atlanta,666120,anderia01
46,Justin Anderson,Chicago,605121,anderju01
47,Nick Anderson,"Atlanta,Kansas City,Tampa Bay",623433,anderni01
48,Shaun Anderson,"Baltimore,Miami,Minnesota,San Diego,Texas,Toronto",641312,andersh01
49,Tanner Anderson,Pittsburgh,664196,anderta01
50,Tyler Anderson,"Los Angeles,Pittsburgh,Seattle",542881,anderty01
51,Clayton Andrews,"Milwaukee,New York",677076,andrecl02
53,Matt Andriese,"Boston,Miami,Seattle",542882,andrima01
54,Tejay Antone,Cincinnati,622088,antonte01
55,Mark Appel,Philadelphia,571446,appelma01
56,V\xc3\xadctor Arano,Washington,644364,aranovi01
57,Jonathan Ara\xc3\xbaz,Boston,660620,arauzjo01
58,Chris Archer,"Minnesota,Tampa Bay",502042,archech01
59,Orlando Arcia,Atlanta,606115,arciaor01
60,Kohei Arihara,Texas,685503,arihako01
61,Shawn Armstrong,"Baltimore,Chicago,Miami,St. Louis,Tampa Bay",542888,armstsh01
62,Jake Arrieta,"Chicago,San Diego",453562,arrieja01
63,Spencer Arrighetti,Houston,681293,arrigsp01
64,Christian Arroyo,Boston,624414,arroych01
65,Aaron Ashby,Milwaukee,676879,ashbyaa01
66,Graham Ashcraft,Cincinnati,668933,ashcrgr01
67,Javier Assad,Chicago,665871,assadja01
68,Willians Astudillo,"Miami,Minnesota",553902,astudwi01
69,Nick Avila,San Francisco,687014,avilani01
70,Pedro Avila,"Cleveland,San Diego",658648,avilape01
71,Luis Avil\xc3\xa1n,Washington,501593,avilalu01
72,John Axford,Milwaukee,446099,axforjo01
73,Lake Bachar,Miami,669199,bachala01
74,Sam Bachman,Los Angeles,696147,bachmsa01
75,Michel B\xc3\xa1ez,San Diego,673258,baezmi01
76,Pedro B\xc3\xa1ez,Houston,520980,baezpe01
77,Bryan Baker,"Baltimore,Toronto",641329,bakerbr01
79,Jordan Balazovic,Minnesota,666364,balazjo02
80,Alberto Baldonado,Washington,593604,baldoal01
81,Anthony Banda,"Los Angeles,New York,Pittsburgh,Toronto,Washington",607455,bandaan01
82,Tanner Banks,"Chicago,Philadelphia",621383,banksta01
83,Manny Banuelos,"New York,Pittsburgh",544365,banuema01
84,Caleb Baragar,San Francisco,670056,baragca01
85,Daniel Bard,Colorado,453268,bardda01
86,Luke Bard,"New York,Tampa Bay",572703,bardlu01
87,Luke Barker,Milwaukee,673316,barkelu01
88,Joe Barlow,Texas,669618,barlojo01
89,Scott Barlow,"Cleveland,Kansas City,San Diego",605130,barlosc01
90,Charlie Barnes,Minnesota,656212,barnech01
91,Jacob Barnes,"Detroit,New York,St. Louis,Toronto,Washington",606930,barneja01
92,Matt Barnes,"Boston,Miami,Washington",598264,barnema01
93,Tucker Barnhart,"Arizona,Chicago,Detroit",571466,barnhtu01
94,Kyle Barraclough,"Boston,Los Angeles,Minnesota",607457,barraky01
95,Manny Barreda,Baltimore,518435,barrema03
96,Jaime Barria,Los Angeles,642545,barrija01
97,Anthony Bass,"Miami,Toronto",542914,bassan01
98,Chris Bassitt,"New York,Oakland,Toronto",605135,bassich01
99,Brady Basso,Oakland,669620,bassobr01
100,Matthew Batten,San Diego,676946,battema01
101,Peyton Battenfield,Cleveland,685410,battepe01
102,Trevor Bauer,Los Angeles,545333,bauertr01
103,Jake Bauers,Milwaukee,641343,bauerja01
105,Mike Baumann,"Baltimore,Los Angeles,Miami,San Francisco,Seattle",657508,baumami01
106,F\xc3\xa9lix Bautista,Baltimore,642585,bautife01
107,Shane Baz,Tampa Bay,669358,bazsh01
108,Eduard Bazardo,"Baltimore,Boston,Seattle",660825,bazared01
109,Jeremy Beasley,Toronto,676886,beaslje01
110,Matt Beaty,San Francisco,607461,beatyma01
111,Tristan Beck,San Francisco,663941,becktr01
112,David Bednar,Pittsburgh,670280,bednada01
113,Cam Bedrosian,"Cincinnati,Oakland,Philadelphia",592135,bedroca01
114,Tyler Beede,"Cleveland,Pittsburgh,San Francisco",595881,beedety01
115,Jalen Beeks,"Colorado,Pittsburgh,Tampa Bay",656222,beeksja02
116,Clayton Beeter,New York,690925,beetecl01
117,Andrew Bellatti,"Miami,Philadelphia",571479,bellaan01
118,Brayan Bello,Boston,678394,bellobr01
119,Valente Bellozo,Miami,678368,bellova01
120,Anthony Bemboom,Los Angeles,621532,bemboan01
121,Anthony Bender,Miami,669622,bendean01
122,Wes Benjamin,Texas,605138,benjawe01
123,Travis Bergen,Toronto,664157,bergetr01
124,Jonathan Berm\xc3\xbadez,Miami,642834,bermujo01
125,Brennan Bernardino,"Boston,Seattle",657514,bernabr01
126,Jos\xc3\xa9 Berr\xc3\xados,"Minnesota,Toronto",621244,berrijo01
127,Prelander Berroa,"Chicago,Seattle",672860,berropr01
128,Dellin Betances,New York,476454,betande01
129,Christian Bethancourt,"Oakland,Tampa Bay",542194,bethach01
131,Alec Bettinger,Milwaukee,676424,bettial01
132,Joe Biagini,Chicago,607352,biagijo01
133,Tanner Bibee,Cleveland,676440,bibeeta01
134,Phil Bickford,"Los Angeles,Milwaukee,New York",641360,bickfph01
135,Jesse Biddle,Atlanta,592145,biddlje01
136,Osvaldo Bido,"Oakland,Pittsburgh",674370,bidoos01
137,Shane Bieber,Cleveland,669456,biebesh01
138,Brandon Bielak,"Houston,Oakland",656232,bielabr01
139,Hunter Bigge,"Chicago,Tampa Bay",685801,biggehu01
140,Jake Bird,Colorado,656234,birdja01
141,Hayden Birdsong,San Francisco,806185,birdsha01
142,Spencer Bivens,San Francisco,702352,bivensp01
143,Ty Blach,Colorado,621389,blachty01
144,Mason Black,San Francisco,696131,blackma01
145,Paul Blackburn,"New York,Oakland",621112,blackpa01
146,Bradley Blalock,"Colorado,Milwaukee",687134,blalobr01
147,Ronel Blanco,Houston,669854,blancro01
148,Alex Blandino,Cincinnati,607468,blandal01
149,Richard Bleier,"Boston,Miami",542947,bleieri01
150,Scott Blewett,"Kansas City,Minnesota",656240,blewesc01
151,Jake Bloss,Houston,814005,blossja01
152,Ronald Bola\xc3\xb1os,Kansas City,671790,bolanro01
153,Cody Bolton,"Pittsburgh,Seattle",675989,boltoco01
154,Cam Booser,Boston,592155,booseca01
155,Ryan Borucki,"Pittsburgh,Seattle,Toronto",621366,borucry01
157,Akeem Bostick,New York,641384,bostiak01
158,David Bote,Chicago,623520,boteda01
159,Caleb Boushley,"Milwaukee,Minnesota",676961,boushca01
160,Ben Bowden,Colorado,641386,bowdebe01
161,Jonathan Bowlan,Kansas City,680742,bowlajo01
162,Matt Bowman,"Arizona,Baltimore,Minnesota,New York,Seattle",621199,bowmama01
163,Brad Boxberger,"Chicago,Milwaukee",502202,boxbebr01
164,Matthew Boyd,"Cleveland,Detroit,Seattle",571510,boydma01
165,Joe Boyle,Oakland,671212,boylejo01
166,Brad Brach,Cincinnati,542960,brachbr01
167,Silvino Bracho,"Atlanta,Cincinnati",611093,brachsi01
168,Cody Bradford,Texas,674003,bradfco01
169,Kyle Bradish,Baltimore,680694,bradiky01
170,Archie Bradley,"Los Angeles,Miami,Philadelphia",605151,bradlar01
171,Jackie Bradley Jr.,Boston,598265,bradlja02
172,Taj Bradley,Tampa Bay,671737,bradlta01
173,Matt Brash,Seattle,666374,brashma01
174,Ryan Brasier,"Boston,Los Angeles",518489,brasiry01
175,Steven Brault,"Chicago,Pittsburgh",643230,braulst01
